network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Flowering Time,N001,Light,ENVIRONMENT,PHYB,GENE,1,activation,Red light activates phytochrome B photoreceptor; Pfr form accumulates in light.,1,10.1104/pp.113.2.611
Flowering Time,N002,Light,ENVIRONMENT,PHYC,GENE,1,activation,Phytochrome C is activated by red light; Ma5 locus encodes SbPhyC.,1,10.1038/s41598-023-42306-8
Flowering Time,N003,Light,ENVIRONMENT,CCA1,GENE,1,activation,Dawn light entrains the morning oscillator: CCA1 expression peaks at dawn and is light-gated. Conservation across Arabidopsis and grasses (rice OsCCA1).,1,10.1186/1471-2229-12-32
Flowering Time,N004,Light,ENVIRONMENT,LHY,GENE,1,activation,Dawn light activates LHY morning expression alongside CCA1 in the core oscillator. Light entrainment is a canonical clock input.,1,10.1186/1471-2229-12-32
Flowering Time,N005,Blue_Light,ENVIRONMENT,FKF1,GENE,1,activation,"SbFKF1/SbFFL contains a LOV domain that forms a covalent adduct with FMN upon blue-light illumination, activating the F-box protein to recruit substrates via SCF ubiquitin ligase.",1,10.1002/pld3.281
Flowering Time,N006,Photoperiod_LD,ENVIRONMENT,PRR37,GENE,1,activation,Long-day light evening phase coincides with SbPRR37 evening mRNA peak via PhyB; in SD the evening peak is eliminated because the phase occurs in darkness.,1,10.1073/pnas.1106212108
Flowering Time,N007,Photoperiod_LD,ENVIRONMENT,GHD7,GENE,1,activation,LD induces evening peak of SbGhd7 via PhyB; SD eliminates this peak (darkness).,1,10.1371/journal.pone.0105352
Flowering Time,N008,PHYB,GENE,PRR37,GENE,1,activation,PhyB (Ma3) is required for evening-light activation of SbPRR37 in long days; loss of PhyB eliminates the evening expression peak of SbPRR37.,1,10.1371/journal.pone.0105352
Flowering Time,N009,PHYB,GENE,GHD7,GENE,1,activation,PhyB activates SbGhd7 expression through evening-phase light signaling in long days.,1,10.1371/journal.pone.0105352
Flowering Time,N010,PHYB,GENE,FT1,GENE,-1,repression,PhyB represses SbCN15 (SbFT1 = Hd3a-subclade florigen) via a mechanism that is PRR37/Ghd7-independent and photoperiod-independent. Loss of PhyB causes ~60-fold upregulation of SbCN15.,1,10.1371/journal.pone.0105352
Flowering Time,N011,PHYB,GENE,CO,GENE,-1,repression,"PhyB/PhyC mediate SbCO protein destabilisation in LD daylight hours, reducing CO activity (opposite of Arabidopsis); in SD this is released.",1,10.1186/1471-2229-14-148
Flowering Time,N012,PHYB,GENE,ELF3,GENE,-1,repression,"PhyB inactivates ELF3 post-translationally; in rice, OsPhyB inactivates OsELF3 through post-translational modifications in response to light, thereby attenuating Evening Complex repression on Ghd7/PRR37 in LD.",1,10.1073/pnas.2122582119
Flowering Time,N013,PHYC,GENE,PRR37,GENE,1,activation,Phytochrome C (Ma5) acts together with PhyB to delay flowering in LD through activation of floral repressors; PhyC-light signaling contributes to PRR37 activation.,2,10.1080/15592324.2016.1261232; 10.1038/s41598-023-42306-8
Flowering Time,N014,PHYC,GENE,GHD7,GENE,1,activation,"PhyC contributes to evening-light signaling that activates Ghd7 in LD, parallel to PhyB.",1,10.1080/15592324.2016.1261232
Flowering Time,N015,CCA1,GENE,TOC1,GENE,-1,repression,Conserved circadian oscillator: morning-phased CCA1 binds EE elements in the TOC1 promoter and represses its transcription.,1,10.1186/1471-2229-12-32
Flowering Time,N016,TOC1,GENE,CCA1,GENE,-1,repression,"Evening-phased TOC1 represses CCA1 transcription, completing the core oscillator feedback loop.",1,10.1186/1471-2229-12-32
Flowering Time,N017,LHY,GENE,TOC1,GENE,-1,repression,LHY and CCA1 act redundantly to repress TOC1 in the morning.,1,10.1186/1471-2229-12-32
Flowering Time,N018,CCA1,GENE,GI,GENE,-1,repression,Morning-phased CCA1/LHY represses GI to restrict GI expression to the afternoon/evening peak.,1,10.1186/1471-2229-12-32
Flowering Time,N019,CCA1,GENE,PRR37,GENE,-1,repression,Morning-phased CCA1/LHY MYB TFs repress evening-phased genes including PRR37; canonical across Arabidopsis and grass oscillators. Conservation inferred for sorghum from the clock-gated bimodal SbPRR37 expression (Murphy 2011).,1,10.1073/pnas.1106212108
Flowering Time,N020,ELF4,GENE,ELF3,GENE,1,activation,"ELF4 and LUX physically associate with ELF3 to form the Evening Complex; ELF3 serves as docking scaffold. Without ELF4/LUX, ELF3 loses repressive activity on clock output.",1,10.1038/nature10182
Flowering Time,N021,ELF3,GENE,PRR37,GENE,-1,repression,"Evening Complex subunit ELF3 represses morning/evening PRR genes; inferred in sorghum from rice OsELF3-1 ortholog, which negatively regulates OsPRR1/37/73/95 (Zhao 2012).",1,10.1371/journal.pone.0043705
Flowering Time,N022,ELF3,GENE,GHD7,GENE,-1,repression,"Evening Complex subunit ELF3 represses Ghd7; in rice, OsELF3 suppresses Ghd7 expression, accelerating flowering under LD. Mechanism conserved in sorghum Evening Complex.",2,10.1371/journal.pone.0043705; 10.1073/pnas.2122582119
