network,edge_id,source,target,sign,confidence,in_model,n_papers,dois
Flowering Time,E001,Light,SbPhyB,1,HIGH,False,1,10.1104/pp.113.2.611
Flowering Time,E002,Light,SbPhyA,1,MEDIUM,False,1,10.1186/1471-2229-12-32
Flowering Time,E003,Light,SbPhyC,1,HIGH,False,1,10.1038/s41598-023-42306-8
Flowering Time,E004,Blue_Light,SbCRY1,1,MEDIUM,False,1,10.1186/1471-2229-12-32
Flowering Time,E005,Blue_Light,SbFKF1,1,HIGH,False,1,10.1002/pld3.281
Flowering Time,E006,SbPhyB,SbPRR37,1,HIGH,False,1,10.1371/journal.pone.0105352
Flowering Time,E007,SbPhyB,SbGhd7,1,HIGH,False,1,10.1371/journal.pone.0105352
Flowering Time,E008,SbPhyB,SbFT1,-1,HIGH,False,1,10.1371/journal.pone.0105352
Flowering Time,E009,SbPhyC,SbPRR37,1,MEDIUM,False,2,10.1038/s41598-023-42306-8; 10.1080/15592324.2016.1261232
Flowering Time,E010,SbPhyC,SbGhd7,1,MEDIUM,False,1,10.1080/15592324.2016.1261232
Flowering Time,E011,SbCCA1,SbTOC1,-1,MEDIUM,False,1,10.1186/1471-2229-12-32
Flowering Time,E012,SbTOC1,SbCCA1,-1,MEDIUM,False,1,10.1186/1471-2229-12-32
Flowering Time,E013,SbLHY,SbTOC1,-1,MEDIUM,False,1,10.1186/1471-2229-12-32
Flowering Time,E014,SbCCA1,SbGI,-1,MEDIUM,False,1,10.1186/1471-2229-12-32
Flowering Time,E015,SbGhd7,SbELF3,-1,HIGH,False,1,10.1111/nph.19591
Flowering Time,E016,SbGhd7,SbFKF1,-1,HIGH,False,1,10.1111/nph.19591
Flowering Time,E017,SbGI,SbPRR37,1,HIGH,False,1,10.1002/pld3.281
Flowering Time,E018,SbGI,SbCO,1,HIGH,False,2,10.1002/pld3.281; 10.1186/1471-2229-14-148
Flowering Time,E019,SbGI,SbEhd1,1,HIGH,False,1,10.1002/pld3.281
Flowering Time,E020,SbGI,SbFT1,1,HIGH,False,1,10.1002/pld3.281
Flowering Time,E021,SbGI,SbFT8,1,HIGH,False,1,10.1002/pld3.281
Flowering Time,E022,SbGI,SbFT10,1,HIGH,False,1,10.1002/pld3.281
Flowering Time,E023,SbFKF1,SbCO,1,HIGH,False,2,10.1002/pld3.281; 10.1186/1471-2229-14-148
Flowering Time,E024,SbPRR37,SbCO,1,MEDIUM,False,2,10.1073/pnas.1106212108; 10.1371/journal.pone.0105352
Flowering Time,E025,SbPRR37,SbEhd1,-1,HIGH,False,1,10.1371/journal.pone.0105352
Flowering Time,E026,SbPRR37,SbFT1,-1,HIGH,False,1,10.1111/nph.13834
Flowering Time,E027,SbPRR37,SbFT8,-1,HIGH,False,2,10.1371/journal.pone.0105352; 10.1371/journal.pone.0212154
Flowering Time,E028,SbPRR37,SbFT10,-1,HIGH,False,1,10.1371/journal.pone.0105352
Flowering Time,E029,SbGhd7,SbEhd1,-1,HIGH,False,2,10.1111/nph.19591; 10.3835/plantgenome2013.11.0040
Flowering Time,E030,SbGhd7,SbFT1,-1,HIGH,False,1,10.1111/nph.13834
Flowering Time,E031,SbGhd7,SbFT8,-1,HIGH,False,1,10.1371/journal.pone.0105352
