test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,SbPhyB,loss_of_function,,,,WT,Flowering_Time,decreased,strong,,,,,,Loss of PhyB (58M phyB-1 vs 100M PHYB)...Long Days (14h) 62 vs 126 days...EARLY (~60 days earlier).,,,Sorghum bicolor,SbPhyB → PHYB (species-prefix strip).
T002,SbPhyB,loss_of_function,,,,epistasis,Flowering_Time,decreased,slight,,,,,,Loss of PhyB...Short Days (10h) 48 vs 59 days...EARLY (~11 days earlier).,,,Sorghum bicolor,SbPhyB → PHYB (species-prefix strip).
T003,SbPRR37,loss_of_function,,,,WT,Flowering_Time,decreased,strong,,,,,,SM100 Sbprr37-1 (frameshift)...Early flowering...Photoperiod-insensitive.,,,Sorghum bicolor,SbPRR37 → PRR37 (species-prefix strip).
T004,SbPRR37,loss_of_function,,,,WT,Flowering_Time,decreased,strong,,,,,,BTx406 Sbprr37-1 (frameshift)...Early flowering.,,,Sorghum bicolor,SbPRR37 → PRR37 (species-prefix strip).
T005,SbPRR37,loss_of_function,,,,WT,Flowering_Time,decreased,moderate,,,,,,Blackhull Kafir Sbprr37-2 (Lys162Asn)...Early flowering.,,,Sorghum bicolor,SbPRR37 → PRR37 (species-prefix strip).
T006,SbPRR37,loss_of_function,,,,WT,Flowering_Time,decreased,strong,,,,,,ATx623 Sbprr37-3 (dual mutations)...Early flowering...Lys162Asn + Q270Stop.,,,Sorghum bicolor,SbPRR37 → PRR37 (species-prefix strip).
T007,SbGhd7,loss_of_function,,,,WT,Flowering_Time,decreased,strong,,,,,,"The sequence of ghd7-1 from Tx623 (ma6) contained a five base insertion, creating a frameshift and premature termination of the protein...ma6 conferred earlier flowering in LDs.",,,Sorghum bicolor,SbGhd7 → GHD7 (species-prefix strip).
T008,SbGhd7,overexpression,,,,WT,Flowering_Time,increased,strong,,,,,,SbGhd7 overexpression (OE) completely prevented sorghum flowering.,,,Sorghum bicolor,SbGhd7 → GHD7 (species-prefix strip).
T009,SbPhyC,loss_of_function,,,,WT,Flowering_Time,decreased,moderate,,,,,,Loss of Ma5 (ma5) vs Ma5 Long Days...Reduced flowering delay...EARLY.,,,Sorghum bicolor,SbPhyC → PHYC (species-prefix strip).
T010,SbPhyC,loss_of_function,,,,epistasis,Flowering_Time,unchanged,,,,,,,Ma5 is a photoperiod-dependent flowering repressor (LD-specific).,,,Sorghum bicolor,SbPhyC → PHYC (species-prefix strip).
T011,Ma2_SMYD,loss_of_function,,,,WT,Flowering_Time,decreased,strong,,,,,,80M (ma2) flowers earlier than 100M (Ma2)...ma1ma2 genotypes flower earlier than ma1Ma2.,,,Sorghum bicolor,Ma2_SMYD → MA2_SMYD (species-prefix strip).
T012,SbEhd1,overexpression,,,,WT,Flowering_Time,decreased,strong,,,,,,"SbEhd1OE activated the promoters of three functional florigens (SbFT1, SbFT8 and SbFT10), dramatically accelerating flowering.",,,Sorghum bicolor,SbEhd1 → EHD1 (species-prefix strip).
T013,SbFT8,knockout_CRISPR,,,,WT,Flowering_Time,increased,moderate,,,,,,"plants containing knockout mutations flowered 8 days later than wild-type plants on average, and the flowering time difference for the second planting date between edited plants and wild types was 10 days.",,,Sorghum bicolor,SbFT8 → FT8 (species-prefix strip).
T014,SbGI,loss_of_function,,,,WT,Flowering_Time,increased,strong,,,,,,sbgi-ems1 homozygous plants averaged 30 days more than sbgi-ems1 heterozygous and SbGI WT siblings.,,,Sorghum bicolor,SbGI → GI (species-prefix strip).
T015,SbGI,loss_of_function,,,,epistasis,Flowering_Time,increased,strong,,,,,,DTB and DTA both were increased in sbgi-ems1 plants by an average of 35 days.,,,Sorghum bicolor,SbGI → GI (species-prefix strip).
T016,SbID1,loss_of_function,,,,WT,Flowering_Time,increased,moderate,,,,,,"sbid1-1 (P155S, weak): 35-day delay (field); 6-day delay (greenhouse).",,,Sorghum bicolor,SbID1 → ID1 (species-prefix strip).
T017,SbID1,knockout,,,,WT,Flowering_Time,increased,strong,,,,,,"sbid1-2 (Q199*, strong nonsense): ~170-day delay; near-complete flowering block.",,,Sorghum bicolor,SbID1 → ID1 (species-prefix strip).
T018,SbID1,double_mutant,,,,WT,Flowering_Time,increased,strong,,,,,,sbid1-1/sbid1-2 compound: Phenotype matches strong sbid1-2; confirms loss-of-function.,,,Sorghum bicolor,SbID1 → ID1 (species-prefix strip).
