node,node_type,activators,inhibitors,formula
Light,,,,Light = gene_modifier + exogenous_supply
Blue_Light,,,,Blue_Light = gene_modifier + exogenous_supply
Photoperiod_LD,,,,Photoperiod_LD = gene_modifier + exogenous_supply
Gibberellin,,,,Gibberellin = gene_modifier + exogenous_supply
PHYB,,Light,,"PHYB = max(Light, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
PHYC,,Light,,"PHYC = max(Light, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
CCA1,,Light,TOC1,"CCA1 = max(Light, 0.01)^(1/1) * min(1/max(TOC1, 0.1), 10.0) * gene_modifier + exogenous_supply"
LHY,,Light,,"LHY = max(Light, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
TOC1,,,"CCA1,LHY","TOC1 = 1.0 * min(1/max(CCA1 * LHY, 0.1), 10.0) * gene_modifier + exogenous_supply"
GI,,,CCA1,"GI = 1.0 * min(1/max(CCA1, 0.1), 10.0) * gene_modifier + exogenous_supply"
FKF1,,Blue_Light,GHD7,"FKF1 = max(Blue_Light, 0.01)^(1/1) * min(1/max(GHD7, 0.1), 10.0) * gene_modifier + exogenous_supply"
ELF3,,ELF4,"PHYB,GHD7","ELF3 = max(ELF4, 0.01)^(1/1) * min(1/max(PHYB * GHD7, 0.1), 10.0) * gene_modifier + exogenous_supply"
ELF4,,,,ELF4 = gene_modifier + exogenous_supply
LUX,,,,LUX = gene_modifier + exogenous_supply
PRR37,,"Photoperiod_LD,PHYB,PHYC,GI,MA2_SMYD,ID1","CCA1,ELF3,LUX","PRR37 = (max(Photoperiod_LD, 0.01) * max(PHYB, 0.01) * max(PHYC, 0.01) * max(GI, 0.01) * max(MA2_SMYD, 0.01) * max(ID1, 0.01))^(1/6) * min(1/max(CCA1 * ELF3 * LUX, 0.1), 10.0) * gene_modifier + exogenous_supply"
GHD7,,"Photoperiod_LD,PHYB,PHYC,ID1","ELF3,LUX","GHD7 = (max(Photoperiod_LD, 0.01) * max(PHYB, 0.01) * max(PHYC, 0.01) * max(ID1, 0.01))^(1/4) * min(1/max(ELF3 * LUX, 0.1), 10.0) * gene_modifier + exogenous_supply"
MA2_SMYD,,,,MA2_SMYD = gene_modifier + exogenous_supply
ID1,,,,ID1 = gene_modifier + exogenous_supply
CO,,"GI,FKF1,MA2_SMYD,ID1,PRR37",PHYB,"CO = (max(GI, 0.01) * max(FKF1, 0.01) * max(MA2_SMYD, 0.01) * max(ID1, 0.01) * max(PRR37, 0.01))^(1/5) * min(1/max(PHYB, 0.1), 10.0) * gene_modifier + exogenous_supply"
EHD1,,"GI,ID1,CO","PRR37,GHD7","EHD1 = (max(GI, 0.01) * max(ID1, 0.01) * max(CO, 0.01))^(1/3) * min(1/max(PRR37 * GHD7, 0.1), 10.0) * gene_modifier + exogenous_supply"
FT1,,"CO,EHD1","PHYB,PRR37,GHD7","FT1 = (max(CO, 0.01) * max(EHD1, 0.01))^(1/2) * min(1/max(PHYB * PRR37 * GHD7, 0.1), 10.0) * gene_modifier + exogenous_supply"
FT8,,"ID1,CO,EHD1","PRR37,GHD7,AP2","FT8 = (max(ID1, 0.01) * max(CO, 0.01) * max(EHD1, 0.01))^(1/3) * min(1/max(PRR37 * GHD7 * AP2, 0.1), 10.0) * gene_modifier + exogenous_supply"
FT10,,"ID1,CO,EHD1","PRR37,GHD7","FT10 = (max(ID1, 0.01) * max(CO, 0.01) * max(EHD1, 0.01))^(1/3) * min(1/max(PRR37 * GHD7, 0.1), 10.0) * gene_modifier + exogenous_supply"
FT12,,,,FT12 = gene_modifier + exogenous_supply
FD1,,FT1,,"FD1 = max(FT1, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
GF14,,"FT1,FT8,FT10",,"GF14 = (max(FT1, 0.01) * max(FT8, 0.01) * max(FT10, 0.01))^(1/3) * 1.0 * gene_modifier + exogenous_supply"
SOC1,,"FT1,FT8,FT10,SBP4",,"SOC1 = (max(FT1, 0.01) * max(FT8, 0.01) * max(FT10, 0.01) * max(SBP4, 0.01))^(1/4) * 1.0 * gene_modifier + exogenous_supply"
LFY,,SOC1,,"LFY = max(SOC1, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
AP1,,"SOC1,LFY,FD1",,"AP1 = (max(SOC1, 0.01) * max(LFY, 0.01) * max(FD1, 0.01))^(1/3) * 1.0 * gene_modifier + exogenous_supply"
AP2,,,miR172a,"AP2 = 1.0 * min(1/max(miR172a, 0.1), 10.0) * gene_modifier + exogenous_supply"
SBP19,,,miR156h,"SBP19 = 1.0 * min(1/max(miR156h, 0.1), 10.0) * gene_modifier + exogenous_supply"
SBP4,,,miR156h,"SBP4 = 1.0 * min(1/max(miR156h, 0.1), 10.0) * gene_modifier + exogenous_supply"
miR156h,,,,miR156h = gene_modifier + exogenous_supply
miR172a,,SBP19,,"miR172a = max(SBP19, 0.01)^(1/1) * 1.0 * gene_modifier + exogenous_supply"
Flowering_Time,,"FT12,AP2","FT1,FT8,FT10,SOC1,AP1,GF14,Gibberellin,ID1","Flowering_Time = (max(FT12, 0.01) * max(AP2, 0.01))^(1/2) * min(1/max(FT1 * FT8 * FT10 * SOC1 * AP1 * GF14 * Gibberellin * ID1, 0.1), 10.0) * gene_modifier + exogenous_supply"
