node,node_type,activators,inhibitors,formula
Light,,,,Light = 1.0 * 1.0 * gene_modifier + exogenous
Blue_Light,,,,Blue_Light = 1.0 * 1.0 * gene_modifier + exogenous
Photoperiod_LD,,,,Photoperiod_LD = 1.0 * 1.0 * gene_modifier + exogenous
Gibberellin,,,,Gibberellin = 1.0 * 1.0 * gene_modifier + exogenous
PHYB,,Light,,PHYB = prod(f(Light)) * 1.0 * gene_modifier + exogenous
PHYC,,Light,,PHYC = prod(f(Light)) * 1.0 * gene_modifier + exogenous
CCA1,,Light,TOC1,CCA1 = prod(f(Light)) * prod(g(TOC1)) * gene_modifier + exogenous
LHY,,Light,,LHY = prod(f(Light)) * 1.0 * gene_modifier + exogenous
TOC1,,,"CCA1,LHY","TOC1 = 1.0 * prod(g(CCA1, LHY)) * gene_modifier + exogenous"
GI,,,CCA1,GI = 1.0 * prod(g(CCA1)) * gene_modifier + exogenous
FKF1,,Blue_Light,GHD7,FKF1 = prod(f(Blue_Light)) * prod(g(GHD7)) * gene_modifier + exogenous
ELF3,,ELF4,"PHYB,GHD7","ELF3 = prod(f(ELF4)) * prod(g(PHYB, GHD7)) * gene_modifier + exogenous"
ELF4,,,,ELF4 = 1.0 * 1.0 * gene_modifier + exogenous
LUX,,,,LUX = 1.0 * 1.0 * gene_modifier + exogenous
PRR37,,"Photoperiod_LD,PHYB,PHYC,GI,MA2_SMYD,ID1","CCA1,ELF3,LUX","PRR37 = prod(f(Photoperiod_LD, PHYB, PHYC, GI, MA2_SMYD, ID1)) * prod(g(CCA1, ELF3, LUX)) * gene_modifier + exogenous"
GHD7,,"Photoperiod_LD,PHYB,PHYC,ID1","ELF3,LUX","GHD7 = prod(f(Photoperiod_LD, PHYB, PHYC, ID1)) * prod(g(ELF3, LUX)) * gene_modifier + exogenous"
MA2_SMYD,,,,MA2_SMYD = 1.0 * 1.0 * gene_modifier + exogenous
ID1,,,,ID1 = 1.0 * 1.0 * gene_modifier + exogenous
CO,,"GI,FKF1,MA2_SMYD,ID1,PRR37",PHYB,"CO = prod(f(GI, FKF1, MA2_SMYD, ID1, PRR37)) * prod(g(PHYB)) * gene_modifier + exogenous"
EHD1,,"GI,ID1,CO","PRR37,GHD7","EHD1 = prod(f(GI, ID1, CO)) * prod(g(PRR37, GHD7)) * gene_modifier + exogenous"
FT1,,"CO,EHD1","PHYB,PRR37,GHD7","FT1 = prod(f(CO, EHD1)) * prod(g(PHYB, PRR37, GHD7)) * gene_modifier + exogenous"
FT8,,"ID1,CO,EHD1","PRR37,GHD7,AP2","FT8 = prod(f(ID1, CO, EHD1)) * prod(g(PRR37, GHD7, AP2)) * gene_modifier + exogenous"
FT10,,"ID1,CO,EHD1","PRR37,GHD7","FT10 = prod(f(ID1, CO, EHD1)) * prod(g(PRR37, GHD7)) * gene_modifier + exogenous"
FT12,,,,FT12 = 1.0 * 1.0 * gene_modifier + exogenous
FD1,,FT1,,FD1 = prod(f(FT1)) * 1.0 * gene_modifier + exogenous
GF14,,"FT1,FT8,FT10",,"GF14 = prod(f(FT1, FT8, FT10)) * 1.0 * gene_modifier + exogenous"
SOC1,,"FT1,FT8,FT10,SBP4",,"SOC1 = prod(f(FT1, FT8, FT10, SBP4)) * 1.0 * gene_modifier + exogenous"
LFY,,SOC1,,LFY = prod(f(SOC1)) * 1.0 * gene_modifier + exogenous
AP1,,"SOC1,LFY,FD1",,"AP1 = prod(f(SOC1, LFY, FD1)) * 1.0 * gene_modifier + exogenous"
AP2,,,miR172a,AP2 = 1.0 * prod(g(miR172a)) * gene_modifier + exogenous
SBP19,,,miR156h,SBP19 = 1.0 * prod(g(miR156h)) * gene_modifier + exogenous
SBP4,,,miR156h,SBP4 = 1.0 * prod(g(miR156h)) * gene_modifier + exogenous
miR156h,,,,miR156h = 1.0 * 1.0 * gene_modifier + exogenous
miR172a,,SBP19,,miR172a = prod(f(SBP19)) * 1.0 * gene_modifier + exogenous
Flowering_Time,,"FT12,AP2","FT1,FT8,FT10,SOC1,AP1,GF14,Gibberellin,ID1","Flowering_Time = prod(f(FT12, AP2)) * prod(g(FT1, FT8, FT10, SOC1, AP1, GF14, Gibberellin, ID1)) * gene_modifier + exogenous"
