network,edge_id,source,target,sign,confidence,in_model,n_papers,dois
Plant Height,E001,Gibberellin,TaGID1,1,HIGH,False,2,10.1016/j.jplph.2012.11.010; 10.1104/pp.111.183657
Plant Height,E002,TaGID1,Rht-B1,-1,HIGH,False,1,10.1104/pp.111.183657
Plant Height,E003,TaGID1,Rht-D1,-1,HIGH,False,1,10.1016/j.jplph.2012.11.010
Plant Height,E004,TaSLY1,Rht-B1,-1,MEDIUM,False,1,10.1104/pp.111.183657
Plant Height,E005,TaSLY1,Rht-D1,-1,MEDIUM,False,1,10.1104/pp.111.183657
Plant Height,E006,Rht-B1,Plant_Height,-1,HIGH,False,2,10.1104/pp.111.183657; 10.3389/fpls.2019.00051
Plant Height,E007,Rht-D1,Plant_Height,-1,HIGH,False,1,10.1104/pp.111.183657
Plant Height,E008,TaGA20ox,Gibberellin,1,HIGH,False,2,10.1007/s00425-005-0104-0; 10.1104/pp.111.183657
Plant Height,E009,TaGA3ox,Gibberellin,1,HIGH,False,1,10.1093/jxb/eraf151
Plant Height,E010,TaGA2ox,Gibberellin,-1,HIGH,False,1,10.1104/pp.18.00023
Plant Height,E011,TaGA1ox1,Gibberellin,-1,MEDIUM,False,1,10.1093/jxb/eraf151
Plant Height,E012,Gibberellin,Rht-B1,-1,HIGH,False,1,10.1093/jxb/erw509
Plant Height,E013,Gibberellin,Rht-D1,-1,HIGH,False,1,10.1093/jxb/erw509
Plant Height,E014,Gibberellin,TaGA20ox,-1,HIGH,False,1,10.7717/peerj.15924
Plant Height,E015,Gibberellin,TaGA3ox,-1,MEDIUM,False,1,10.7717/peerj.15924
Plant Height,E016,Gibberellin,TaGA2ox,1,HIGH,False,1,10.7717/peerj.15924
Plant Height,E017,Gibberellin,TaGID1,-1,MEDIUM,False,1,10.1016/j.jplph.2012.11.010
Plant Height,E018,Rht-B1,TaGA20ox,1,MEDIUM,False,1,10.7717/peerj.15924
Plant Height,E019,PLATZ-A1,Plant_Height,1,HIGH,False,1,10.1073/pnas.2300203120
Plant Height,E020,Rht-B1,PLATZ-A1,-1,HIGH,False,1,10.1073/pnas.2300203120
Plant Height,E021,PLATZ-A1,TaGRF1,1,MEDIUM,False,1,10.1073/pnas.2300203120
Plant Height,E022,TaGRF4,Rht-B1,-1,HIGH,False,2,10.1038/s41586-018-0415-5; 10.1073/pnas.2300203120
Plant Height,E023,TaGRF4,Plant_Height,1,MEDIUM,False,1,10.1038/s41586-018-0415-5
Plant Height,E024,Brassinosteroid,TaBRI1,1,HIGH,False,1,10.1186/s12870-025-06762-w
Plant Height,E025,TaBRI1,TaBKI1,-1,HIGH,False,1,10.1038/s41586-023-06023-6
Plant Height,E026,TaZnF,TaBKI1,-1,HIGH,False,1,10.1038/s41586-023-06023-6
Plant Height,E027,TaBKI1,TaBRI1,-1,HIGH,False,1,10.1038/s41586-023-06023-6
Plant Height,E028,TaBRI1,TaBIN2,-1,HIGH,False,1,10.1186/s12870-025-06762-w
Plant Height,E029,TaBIN2,TaBZR1,-1,HIGH,False,1,10.1186/s12870-025-06762-w
Plant Height,E030,TaBZR1,Plant_Height,1,HIGH,False,1,10.1186/s12870-025-06762-w
Plant Height,E031,TaBRI1,Plant_Height,1,HIGH,False,1,10.1186/s12870-025-06762-w
Plant Height,E032,TaBZR1,Rht-B1,-1,MEDIUM,False,1,10.1186/s12870-025-06762-w
Plant Height,E033,TaBIN2,Rht-B1,1,MEDIUM,False,1,10.1186/s12870-025-06762-w
Plant Height,E034,TaD11,Brassinosteroid,1,MEDIUM,False,1,10.1007/s00122-022-04158-0
Plant Height,E035,Brassinosteroid,TaD11,-1,MEDIUM,False,1,10.1007/s00122-022-04158-0
Plant Height,E036,Auxin,TaTIR1,1,HIGH,False,1,10.3389/fpls.2018.01395
Plant Height,E037,TaTIR1,TaIAA,-1,HIGH,False,1,10.3389/fpls.2018.01395
Plant Height,E038,TaIAA,TaARF,-1,HIGH,False,1,10.3389/fpls.2018.01395
Plant Height,E039,TaARF,Plant_Height,1,MEDIUM,False,1,10.1093/aob/mcy218
Plant Height,E040,Auxin,TaEXP,1,MEDIUM,False,1,10.1007/s00299-016-1948-4
Plant Height,E041,Gibberellin,TaEXP,1,MEDIUM,False,1,10.1007/s00299-016-1948-4
Plant Height,E042,Brassinosteroid,TaEXP,1,MEDIUM,False,1,10.1007/s00299-016-1948-4
Plant Height,E043,TaEXP,Plant_Height,1,HIGH,False,1,10.1007/s00299-016-1948-4
Plant Height,E044,VRN1,TaGA20ox,1,HIGH,False,1,10.1016/j.xplc.2025.101325
Plant Height,E045,VRN1,Plant_Height,1,MEDIUM,False,1,10.1016/j.xplc.2025.101325
Plant Height,E046,Vernalization,VRN1,1,HIGH,False,1,10.1016/j.xplc.2025.101325
Plant Height,E047,Rht8,Plant_Height,-1,HIGH,False,1,10.1016/j.molp.2022.01.013
Plant Height,E048,Rht8,Gibberellin,1,MEDIUM,False,1,10.1016/j.molp.2022.01.014
Plant Height,E049,Rht13,Pathogenesis_Related_Genes,1,HIGH,False,1,10.1073/pnas.2209875119
Plant Height,E050,Pathogenesis_Related_Genes,Plant_Height,-1,MEDIUM,False,1,10.1073/pnas.2209875119
Plant Height,E051,Rht-B1,Photosynthetic_Rate,-1,MEDIUM,False,1,10.3389/fpls.2019.00051
Plant Height,E052,TaARF4,TaHB33,1,MEDIUM,False,1,10.1093/aob/mcy218
Plant Height,E053,TaHB33,TaGH3,-1,MEDIUM,False,1,10.1093/aob/mcy218
