network,method,path_length,n_correct,n_total,accuracy_pct
Plant Height,Algebraic,1,17,20,85.0
Plant Height,Algebraic,2,5,5,100.0
Plant Height,Algebraic,3,4,4,100.0
Plant Height,Algebraic,4,8,8,100.0
Plant Height,Algebraic,5,11,12,91.67
Plant Height,Algebraic,7,1,1,100.0
Plant Height,ODE,1,17,20,85.0
Plant Height,ODE,2,5,5,100.0
Plant Height,ODE,3,4,4,100.0
Plant Height,ODE,4,8,8,100.0
Plant Height,ODE,5,12,12,100.0
Plant Height,ODE,7,1,1,100.0
Plant Height,RWR,1,16,19,84.21
Plant Height,RWR,2,5,5,100.0
Plant Height,RWR,3,3,4,75.0
Plant Height,RWR,4,8,8,100.0
Plant Height,RWR,5,12,12,100.0
Plant Height,RWR,7,1,1,100.0
