source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
Gibberellin,HORMONE,TaGID1,GENE,activation,hormone_binding,HIGH,GA binds the TaGID1 receptor pocket inducing conformational change that permits DELLA interaction; homeolog-independent.,,,,,,Binding of bioactive GAs within a pocket in the GID1 protein induces a conformational change that permits interaction between the DELLA and GID1 proteins,,
TaGID1,GENE,Rht-B1,GENE,inhibition,post-translational,HIGH,"GA-bound TaGID1 binds DELLA N-terminal DELLA/TVHYNP motif via closed N-terminal lid, recruiting SCF-SLY1 E3 ligase for DELLA degradation.",,,,,,"This leads to closing of the N-terminal lid of GID1, allowing DELLAs to bind through their conserved N-terminal DELLA/TVHYNP motifs",,
TaGID1,GENE,Rht-D1,GENE,inhibition,post-translational,HIGH,GA-bound TaGID1 targets Rht-D1 DELLA homeolog for proteasomal degradation via SCF-SLY1.,,,,,,"Strong interactions between each putative TaGID1 and the wheat DELLA proteins RHT-A1, RHT-B1, and RHT-D1 in the presence of GA3",,
TaSLY1,GENE,Rht-B1,GENE,inhibition,post-translational,MEDIUM,"SCF-SLY1/GID2 F-box ubiquitinates GA-GID1-DELLA complex, targeting Rht-B1 DELLA for 26S proteasomal degradation.",,,,,,"GID1/DELLA binding enables recognition by the GID2/SLEEPY1 F-box component of an SCF Ub E3 ligase, leading to ubiquitination of DELLAs and their subsequent 26S proteasome-mediated degradation",,
TaSLY1,GENE,Rht-D1,GENE,inhibition,post-translational,MEDIUM,SCF-SLY1 ubiquitinates Rht-D1 DELLA homeolog (parallel to Rht-B1 mechanism).,,,,,,"GID1/DELLA binding enables recognition by the GID2/SLEEPY1 F-box component of an SCF Ub E3 ligase, leading to ubiquitination of DELLAs",,
Rht-B1,GENE,Plant_Height,PHENOTYPE,repression,transcriptional,HIGH,Rht-B1 DELLA represses GA-responsive growth; Rht-B1b semi-dwarf allele produces ~20% height reduction; Rht-B1c extreme allele ~50% reduction.,,,,,,"DELLA proteins, which act to repress GA-responsive growth, and their mutant alleles Rht-B1b and Rht-D1b are thought to confer dwarfism by producing more active forms of these growth repressors",,
Rht-D1,GENE,Plant_Height,PHENOTYPE,repression,transcriptional,HIGH,Rht-D1 DELLA homeolog represses GA-responsive growth; Rht-D1b semi-dwarf produces ~20% reduction; Rht-D1c extreme ~50% via gene amplification.,,,,,,"Rht-B1 and Rht-D1 encode DELLA proteins, which act to repress GA-responsive growth",,
TaGA20ox,GENE,Gibberellin,HORMONE,activation,enzymatic,HIGH,GA 20-oxidase catalyses GA12->GA9 and GA53->GA20; rate-limiting step for bioactive GA; highest expression at elongating nodes.,,,,,,"GA 20-oxidase and 3-oxidase are major sites of regulation in GA biosynthesis; enzymes catalyze multi-step reactions, including conversions of GA12-GA9, and GA53-GA20",,
TaGA3ox,GENE,Gibberellin,HORMONE,activation,enzymatic,HIGH,GA 3-oxidase catalyses 3β-hydroxylation of GA20->GA1 (bioactive); TaGA3ox2 essential for wheat growth; homeologs GA3ox2 A1/B1/D1.,,,,,,GA3OX3 catalyses the 3β-hydroxylation of GA20 to GA1,,
TaGA2ox,GENE,Gibberellin,HORMONE,inhibition,enzymatic,HIGH,GA 2-oxidase catabolises bioactive GA1/GA4 and precursor GA12 to inactive GA8/GA34/GA110; depletes bioactive GA pool.,,,,,,increased expression of GA2oxA9 in Rht18 results in a reduction of both bioactive GA content and plant height,,
TaGA1ox1,GENE,Gibberellin,HORMONE,inhibition,enzymatic,MEDIUM,"TaGA1ox1-B1 1β-hydroxylates GA9->GA61 and GA20->GA60, diverting precursors from bioactive GA pool; loss increases bioactive GA.",,,,,,ga1ox1 Mutant: Bioactive GA1/GA4 extremely high; 10.7 cm taller in 2021 field trial,,
Gibberellin,HORMONE,Rht-B1,GENE,inhibition,post-translational,HIGH,GA induces rapid Rht-B1 DELLA degradation via GID1-SCF-SLY1; relieves growth repression.,,,,,,Bioactive GAs relieve the DELLA growth repression by targeting their rapid degradation through a GID1-GA receptor-mediated signalling pathway,,
Gibberellin,HORMONE,Rht-D1,GENE,inhibition,post-translational,HIGH,GA targets Rht-D1 DELLA homeolog for degradation (parallel to Rht-B1).,,,,,,Bioactive GAs relieve the DELLA growth repression by targeting their rapid degradation through a GID1-GA receptor-mediated signalling pathway,,
Gibberellin,HORMONE,TaGA20ox,GENE,inhibition,transcriptional,HIGH,Negative GA feedback: exogenous GA3 represses TaGA20ox-A2/B2 transcripts.,,,,,,"exogenous GA3 reduces the expressions of GA20oxs and GA3oxs, and increases the expressions of GA2oxs",,
Gibberellin,HORMONE,TaGA3ox,GENE,inhibition,transcriptional,MEDIUM,Negative feedback: GA3 decreases TaGA3ox-B2/D2 transcripts.,,,,,,exogenous GA3 reduces the expressions of GA20oxs and GA3oxs,,
Gibberellin,HORMONE,TaGA2ox,GENE,activation,transcriptional,HIGH,"GA homeostatic feedforward: GA3 increases TaGA2ox expression, sustaining catabolism of excess GA.",,,,,,exogenous GA3 increases the expressions of GA2oxs,,
Gibberellin,HORMONE,TaGID1,GENE,inhibition,transcriptional,MEDIUM,Negative feedback on TaGID1: exogenous GA3 down-regulates TaGID1-A1/B1/D1 transcripts.,,,,,,"down-regulated after treatment with exogenous gibberellic acid (GA3), indicating feedback control",,
Rht-B1,GENE,TaGA20ox,GENE,activation,transcriptional,MEDIUM,"DELLA promotes GA20ox transcription as part of homeostatic feedback (when DELLA accumulates, GA biosynthesis upregulates).",,,,,,DELLA protein signaling alters GA oxidase gene transcription through GA-GID1-DELLA tricomplex,,
PLATZ-A1,GENE,Plant_Height,PHENOTYPE,activation,transcriptional,HIGH,PLATZ-A1 (Rht25) loss-of-function reduces plant height 12.7% and peduncle length 18.7%; overexpression increases height; causal Rht25 gene.,,,,,,"Natural and induced loss-of-function mutations in PLATZ-A1 reduce plant height and its overexpression increases plant height, demonstrating that PLATZ-A1 is the causative gene of RHT25",,
Rht-B1,GENE,PLATZ-A1,GENE,inhibition,post-translational,HIGH,"DELLA GRAS PFYRE subdomain physically binds PLATZ-A1, sequestering it; genetic interaction confirmed on height (P=0.011).",,,,,,PLATZ-A1 showed a positive interaction with RHT1-GRAS in yeast-two-hybrid assays,,
PLATZ-A1,GENE,TaGRF1,GENE,activation,transcriptional,MEDIUM,PLATZ-A1 promotes GRF1/GRF5/CYCD4;1 expression; loss-of-function causes 17-55% downregulation.,,,,,,"Loss-of-function caused downregulation of GRF1, GRF5, CYCD4;1 (-17 to -55% reduction)",,
TaGRF4,GENE,Rht-B1,GENE,inhibition,post-translational,HIGH,GRF4 physically interacts with DELLA; competes for DELLA binding with PLATZ1 and antagonises DELLA growth repression.,,,,,,The balanced opposing activities and physical interactions of the GROWTH-REGULATING FACTOR 4 (GRF4) transcription factor and the growth inhibitor DELLA confer homeostatic co-regulation of growth,,
TaGRF4,GENE,Plant_Height,PHENOTYPE,activation,transcriptional,MEDIUM,"GRF4 promotes growth, N-assimilation, carbon fixation; OE in Rht-B1b background boosts yield without additional height.",,,,,,"GRF4 promotes and integrates nitrogen assimilation, carbon fixation and growth, whereas DELLA inhibits these processes",,
Brassinosteroid,HORMONE,TaBRI1,GENE,activation,receptor_binding,HIGH,"BR ligand binds TaBRI1 extracellular island domain, activating receptor kinase; triggers BSK-CDG1-BSU1 cascade.",,,,,,BR hormones regulate critical developmental traits in wheat through the BRI1 receptor,,
TaBRI1,GENE,TaBKI1,GENE,inhibition,post-translational,HIGH,"Activated TaBRI1 facilitates ZnF-mediated ubiquitination of TaBKI1 at plasma membrane, releasing receptor inhibition.",,,,,,TaBRI1 facilitates the ZnF-TaBKI1 conjugation in response to BR signalling,,
TaZnF,GENE,TaBKI1,GENE,inhibition,post-translational,HIGH,TaZnF RING-type E3 ligase ubiquitinates TaBKI1 for proteasomal destruction; BR-dependent activator of signalling.,,,,,,ZnF acts as a BR signalling activator to facilitate proteasomal destruction of the BR signalling repressor BRI1 kinase inhibitor 1 (TaBKI1),,
TaBKI1,GENE,TaBRI1,GENE,inhibition,post-translational,HIGH,TaBKI1 inhibits TaBRI1 kinase activity in absence of BR; removed upon BR binding.,,,,,,BR signalling repressor BRI1 kinase inhibitor 1 (TaBKI1),,
TaBRI1,GENE,TaBIN2,GENE,inhibition,post-translational,HIGH,Activated BRI1 via BSK1/CDG1/BSU1 phosphatase inactivates TaBIN2 GSK3-like kinase.,,,,,,"In BR signaling, transphosphorylation events mediated through BSK1, CDG1 and BIN2 kinases lead to the activation of BSU1 phosphatase, which acts to dephosphorylate and inactivate BIN2, the negative regulator of BR signaling",,
TaBIN2,GENE,TaBZR1,GENE,inhibition,post-translational,HIGH,"BIN2 phosphorylates BZR1/BES1, inhibiting nuclear localisation and DNA binding; active when BR absent.",,,,,,"At low BR concentrations, BIN2 phosphorylates two homologous transcription factors, BZR1 and BES1/BZR2, and inhibits their nuclear localization and DNA-binding activity",,
TaBZR1,GENE,Plant_Height,PHENOTYPE,activation,transcriptional,HIGH,"Dephosphorylated TaBZR1/TaBES1 binds DNA of growth/cell-elongation genes, promoting stem elongation.",,,,,,"The dephosphorylated active transcription factors, BZR1 and BES1/BZR2, can then bind to specific sites on DNA and regulate expression of several genes",,
TaBRI1,GENE,Plant_Height,PHENOTYPE,activation,transcriptional,HIGH,Functional TaBRI1 promotes stem elongation; triple mutants severely dwarfed; single missense reduces height 35%.,,,,,,"Triple mutants (with premature stop codons in all three TaBRI1 homoeologues) produced severe dwarfism, malformed leaves and sterility",,
TaBZR1,GENE,Rht-B1,GENE,inhibition,post-translational,MEDIUM,BZR1 directly interacts with DELLA; BR-GA crosstalk; BZR1 sequesters DELLA and vice-versa (antagonistic).,,,,,,BRs and GAs co-regulate a large number of common target genes and BZR1 directly interacts with DELLA proteins,,
TaBIN2,GENE,Rht-B1,GENE,activation,post-translational,MEDIUM,"BIN2 phosphorylates DELLA, stabilising it (BR-GA crosstalk); increased when BR low; positive regulator of DELLA accumulation.",,,,,,BRs and GAs co-regulate a large number of common target genes and BZR1 directly interacts with DELLA proteins; Deletions of domains required for BZR1-DELLA interaction abolished the antagonistic effect,,
TaD11,GENE,Brassinosteroid,HORMONE,activation,enzymatic,MEDIUM,TaD11 (BR C6-oxidase ortholog) catalyses BR biosynthesis step; tad11-2a reduces endogenous BR and causes dwarfism.,,,,,,"The tad11-2a-1 mutant displayed dwarfism, smaller grains, sensitivity to 24-epiBL, and reduced endogenous BR contents",,
Brassinosteroid,HORMONE,TaD11,GENE,inhibition,transcriptional,MEDIUM,Negative BR feedback: exogenous 24-epiBL suppresses TaD11 transcripts.,,,,,,"TaD11 genes were highly expressed in roots (Zadoks scale: Z11) and grains (Z75), while expression was significantly suppressed by exogenous BR (24-epiBL)",,
Auxin,HORMONE,TaTIR1,GENE,activation,hormone_binding,HIGH,Auxin binds TIR1/AFB F-box forming co-receptor with Aux/IAA substrate.,,,,,,"When present, auxin promotes the TIR1/AFB-mediated ubiquitin-proteasome-dependent degradation of inhibitory Aux/IAA proteins",,
