test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,Rht-B1b,gain_of_function,,,,,,decreased,moderate,,,,,,the Rht-B1b and Rht-D1b alleles produce only about a 20% reduction in height,,,Triticum aestivum,
T002,Rht-D1b,gain_of_function,,,,,,decreased,moderate,,,,,,the Rht-B1b and Rht-D1b alleles produce only about a 20% reduction in height,,,Triticum aestivum,
T003,Rht-B1c,gain_of_function,,,,,,decreased,strong,,,,,,Rht-B1c and Rht-D1c are about half the size of the appropriate tall controls,,,Triticum aestivum,
T004,Rht-D1c,gain_of_function,,,,,,decreased,strong,,,,,,"the extreme dwarfism of Rht-D1c is due to overexpression of the semidwarfing Rht-D1b allele, caused by an increase in gene copy number",,,Triticum aestivum,
T005,Rht-B1d,gain_of_function,,,,,,decreased,slight,,,,,,Plants carrying the Rht-B1d mutation are less severely dwarfed than those carrying Rht-B1b alone,,,Triticum aestivum,
T006,Rht-B1e,gain_of_function,,,,,,decreased,moderate,,,,,,it is likely that the Rht-B1e mutation confers its GA-insensitive semidwarf phenotype in a manner analogous to Rht-B1b,,,Triticum aestivum,
T007,Rht-B1b+Rht-D1b,double_mutant,,,,,,decreased,strong,,,,,,The Rht1+2 combination produced reductions up to 64% compared to the tall variety,,,Triticum aestivum,
T008,Rht-B1a,control,,,,,,unchanged,,,,,,,"wild-type alleles designated as Rht-A1a, Rht-B1a, and Rht-D1a",,,Triticum aestivum,
T009,Rht-D1a,control,,,,,,unchanged,,,,,,,Rht-D1a (tall),,,Triticum aestivum,
T010,Rht-B1c_ovg_suppressor,rescue_experiment,,,,,,increased,slight,,,,,,Rht-B1c.22 (tall): stem length 15-22% longer than Rht-B1b,,,Triticum aestivum,
T011,PLATZ-A1,knockout,,,,,,decreased,moderate,,,,,,"combined platz1 mutant showed a significant reduction in plant height (12.7%), peduncle length (18.7%)",,,Triticum aestivum,
T012,PLATZ-A1,overexpression,,,,,,increased,moderate,,,,,,UBI::PLATZ1 overexpression: Taller plants; longer peduncles; male sterile,,,Triticum aestivum,
T013,TaGA3ox2,triple_knockout,,,,,,decreased,strong,,,,,,"ga3ox2 triple mutant: GA1 levels ~3-fold lower than wild-type in seedlings; severely dwarfed, infertile",,,Triticum aestivum,
T014,TaGA3ox3,triple_knockout,,,,,,decreased,slight,,,,,,ga3ox3 Mutants: 3.0-4.5 cm shorter than wild-type; grain width/TGW reduced,,,Triticum aestivum,
T015,TaGA1ox1-B1,knockout,,,,,,increased,moderate,,,,,,ga1ox1 Mutant: Bioactive GA1/GA4 extremely high; 10.7 cm taller in 2021 field trial,,,Triticum aestivum,
T016,TaGA3ox2_plus_GA3,rescue_experiment,,,,,,unchanged,,,,,,,twice-weekly sprays of 10 μM GA3 almost completely restored the height and fertility,,,Triticum aestivum,
T017,WT_plus_GA3,treatment,,,,,,increased,moderate,,,,,,Wild-type seedlings increased 30% with GA3 treatment,,,Triticum aestivum,
T018,Rht-B1c_plus_GA3,gain_of_function_plus_treatment,,,,,,unchanged,,,,,,,"Rht-B1c showed only 5% non-significant increase, confirming complete GA insensitivity",,,Triticum aestivum,
T019,Rht18,gain_of_function,,,,,,decreased,moderate,,,,,,"Rht18, a dominant and gibberellin (GA) responsive mutant, is genetically and functionally distinct from the widely used GA-insensitive semidwarfing genes",,,Triticum aestivum,
T020,Rht24b,gain_of_function,,,,,,decreased,slight,,,,,,"Rht24b reduced plant height, but had no yield penalty; it significantly increased nitrogen use efficiency, photosynthetic rate and the expression of related genes",,,Triticum aestivum,
T021,Rht12,gain_of_function,,,,,,decreased,strong,,,,,,Rht12 dwarf plants screened for tall suppressors; suppressors carry loss-of-function mutations in GA2oxidaseA13,,,Triticum aestivum,
T022,Rht14,gain_of_function,,,,,,decreased,moderate,,,,,,"Rht12, Rht18, and Rht14 share the same height-reducing mechanism",,,Triticum aestivum,
T023,Rht12_overgrowth_rev,loss_of_function,,,,,,increased,moderate,,,,,,tall overgrowth individuals contain loss-of-function mutations in GA2oxidaseA13,,,Triticum aestivum,
T024,Rht8,loss_of_function,,,,,,decreased,moderate,,,,,,"The Reduced height 8 (Rht8) semi-dwarfing gene reduces stature of wheat and improves lodging resistance, without compromising grain yield",,,Triticum aestivum,
T025,Rht13,gain_of_function,,,,,,decreased,moderate,,,,,,Rht-B13b plants exhibited approximately 17-34% height reduction primarily through shortened peduncle development,,,Triticum aestivum,
T026,TaBRI1_triple,triple_knockout,,,,,,decreased,strong,,,,,,"Triple mutants (with premature stop codons in all three TaBRI1 homoeologues) produced severe dwarfism, malformed leaves and sterility",,,Triticum aestivum,
T027,TaBRI1-A1_missense,loss_of_function,,,,,,decreased,moderate,,,,,,Missense mutants in TaBRI1-A1 proved most promising: the less severe variant was 35% shorter than the wild type,,,Triticum aestivum,
T028,TaZnF-B,loss_of_function,,,,,,decreased,slight,,,,,,znf-bb (single): Shorter (8.4 cm); Slight reduction; no pleiotropy,,,Triticum aestivum,
T029,Rht-B1b+TaZnF-B_double,double_mutant,,,,,,unchanged,,,,,,,"znf-bb rht1-bb (double): Similar to WT; Longer spikes, larger grains",,,Triticum aestivum,
T030,TaD11-2A,knockout,,,,,,decreased,moderate,,,,,,"The tad11-2a-1 mutant displayed dwarfism, smaller grains, sensitivity to 24-epiBL, and reduced endogenous BR contents",,,Triticum aestivum,
T031,VRN1_single_ko,knockout,,,,,,decreased,slight,,,,,,the plant height of these mutants was reduced by 3.7-5 cm compared with that of Fielder,,,Triticum aestivum,
T032,VRN1_triple_ko,triple_knockout,,,,,,decreased,strong,,,,,,VRN1-5A/5B/5D redundantly regulate heading date and plant height in wheat,,,Triticum aestivum,
T033,TaGRF4_oe,overexpression,,,,,,unchanged,,,,,,,increased GRF4 abundance boosts grain yield and NUE of rice and wheat GRVs without increasing mature plant height,,,Triticum aestivum,
