node,node_type,activators,inhibitors,formula
Vernalization,,,,Vernalization = gene_modifier + exogenous_supply
Photoperiod,,,,Photoperiod = gene_modifier + exogenous_supply
Light,,,,Light = gene_modifier + exogenous_supply
Nitrogen,,,,Nitrogen = gene_modifier + exogenous_supply
Gibberellin,,"TAGA20OX,TAGA3OX,RHT8,Nitrogen","TAGA2OX,TAGA1OX1","Gibberellin = (max(TAGA20OX, 0.01) * max(TAGA3OX, 0.01) * max(RHT8, 0.01) * max(Nitrogen, 0.01))^(1/4) * min(1/max(TAGA2OX * TAGA1OX1, 0.1), 10.0) * gene_modifier + exogenous_supply"
Brassinosteroid,,"TAD11,TADWF4",,"Brassinosteroid = (max(TAD11, 0.01) * max(TADWF4, 0.01))^(1/2) * 1.0 * gene_modifier + exogenous_supply"
Auxin,,,TAGH3,"Auxin = 1.0 * min(1/max(TAGH3, 0.1), 10.0) * gene_modifier + exogenous_supply"
TASLY1,,,,TASLY1 = gene_modifier + exogenous_supply
TAGA3OX,,,,TAGA3OX = gene_modifier + exogenous_supply
TAGA1OX1,,,,TAGA1OX1 = gene_modifier + exogenous_supply
TASERK,,,,TASERK = gene_modifier + exogenous_supply
TAZNF,,,,TAZNF = gene_modifier + exogenous_supply
TAARF4,,,,TAARF4 = gene_modifier + exogenous_supply
TAERF_A1,,,,TAERF_A1 = gene_modifier + exogenous_supply
RHT8,,,,RHT8 = gene_modifier + exogenous_supply
RHT13,,,,RHT13 = gene_modifier + exogenous_supply
RHT18,,,,RHT18 = gene_modifier + exogenous_supply
RHT24,,,,RHT24 = gene_modifier + exogenous_supply
RHT12,,,,RHT12 = gene_modifier + exogenous_supply
TAOSCA1_4,,,,TAOSCA1_4 = gene_modifier + exogenous_supply
TAD11,,,,TAD11 = gene_modifier + exogenous_supply
TADWF4,,,,TADWF4 = gene_modifier + exogenous_supply
TAGID1,,Gibberellin,,"TAGID1 = max(Gibberellin, 0.01) * 1.0 * gene_modifier + exogenous_supply"
TAGA20OX,,"VRN1,RHT_B1",,"TAGA20OX = (max(VRN1, 0.01) * max(RHT_B1, 0.01))^(1/2) * 1.0 * gene_modifier + exogenous_supply"
TAGA2OX,,"Gibberellin,RHT18,RHT24,RHT12",,"TAGA2OX = (max(Gibberellin, 0.01) * max(RHT18, 0.01) * max(RHT24, 0.01) * max(RHT12, 0.01))^(1/4) * 1.0 * gene_modifier + exogenous_supply"
RHT_B1,,TABIN2,"TAGID1,TASLY1,Nitrogen,TABZR1","RHT_B1 = max(TABIN2, 0.01) * min(1/max(TAGID1 * TASLY1 * Nitrogen * TABZR1, 0.1), 10.0) * gene_modifier + exogenous_supply"
RHT_D1,,,"TAGID1,TASLY1","RHT_D1 = 1.0 * min(1/max(TAGID1 * TASLY1, 0.1), 10.0) * gene_modifier + exogenous_supply"
PLATZ_A1,,,RHT_B1,"PLATZ_A1 = 1.0 * min(1/max(RHT_B1, 0.1), 10.0) * gene_modifier + exogenous_supply"
PIF,,TAERF_A1,"RHT_B1,Light","PIF = max(TAERF_A1, 0.01) * min(1/max(RHT_B1 * Light, 0.1), 10.0) * gene_modifier + exogenous_supply"
PPD_D1,,Photoperiod,,"PPD_D1 = max(Photoperiod, 0.01) * 1.0 * gene_modifier + exogenous_supply"
VRN1,,Vernalization,,"VRN1 = max(Vernalization, 0.01) * 1.0 * gene_modifier + exogenous_supply"
TABRI1,,"Brassinosteroid,TASERK",TABKI1,"TABRI1 = (max(Brassinosteroid, 0.01) * max(TASERK, 0.01))^(1/2) * min(1/max(TABKI1, 0.1), 10.0) * gene_modifier + exogenous_supply"
TABKI1,,,"TABRI1,TAZNF","TABKI1 = 1.0 * min(1/max(TABRI1 * TAZNF, 0.1), 10.0) * gene_modifier + exogenous_supply"
TABIN2,,,TABRI1,"TABIN2 = 1.0 * min(1/max(TABRI1, 0.1), 10.0) * gene_modifier + exogenous_supply"
TABZR1,,,TABIN2,"TABZR1 = 1.0 * min(1/max(TABIN2, 0.1), 10.0) * gene_modifier + exogenous_supply"
TATIR1,,Auxin,,"TATIR1 = max(Auxin, 0.01) * 1.0 * gene_modifier + exogenous_supply"
TAIAA,,,TATIR1,"TAIAA = 1.0 * min(1/max(TATIR1, 0.1), 10.0) * gene_modifier + exogenous_supply"
TAARF,,,TAIAA,"TAARF = 1.0 * min(1/max(TAIAA, 0.1), 10.0) * gene_modifier + exogenous_supply"
TAHB33,,TAARF4,,"TAHB33 = max(TAARF4, 0.01) * 1.0 * gene_modifier + exogenous_supply"
TAGH3,,,TAHB33,"TAGH3 = 1.0 * min(1/max(TAHB33, 0.1), 10.0) * gene_modifier + exogenous_supply"
Pathogenesis_Related_Genes,,RHT13,,"Pathogenesis_Related_Genes = max(RHT13, 0.01) * 1.0 * gene_modifier + exogenous_supply"
Plant_Height,,"PLATZ_A1,PIF,TABZR1,TAARF,TAOSCA1_4","RHT_B1,RHT_D1,PPD_D1,Pathogenesis_Related_Genes","Plant_Height = (max(PLATZ_A1, 0.01) * max(PIF, 0.01) * max(TABZR1, 0.01) * max(TAARF, 0.01) * max(TAOSCA1_4, 0.01))^(1/5) * min(1/max(RHT_B1 * RHT_D1 * PPD_D1 * Pathogenesis_Related_Genes, 0.1), 10.0) * gene_modifier + exogenous_supply"
