node,node_type,activators,inhibitors,formula
Vernalization,,,,Vernalization = 1.0 * 1.0 * gene_modifier + exogenous
Photoperiod,,,,Photoperiod = 1.0 * 1.0 * gene_modifier + exogenous
Light,,,,Light = 1.0 * 1.0 * gene_modifier + exogenous
Nitrogen,,,,Nitrogen = 1.0 * 1.0 * gene_modifier + exogenous
Gibberellin,,"TAGA20OX,TAGA3OX,RHT8,Nitrogen","TAGA2OX,TAGA1OX1","Gibberellin = prod(f(TAGA20OX, TAGA3OX, RHT8, Nitrogen)) * prod(g(TAGA2OX, TAGA1OX1)) * gene_modifier + exogenous"
Brassinosteroid,,"TAD11,TADWF4",,"Brassinosteroid = prod(f(TAD11, TADWF4)) * 1.0 * gene_modifier + exogenous"
Auxin,,,TAGH3,Auxin = 1.0 * prod(g(TAGH3)) * gene_modifier + exogenous
TASLY1,,,,TASLY1 = 1.0 * 1.0 * gene_modifier + exogenous
TAGA3OX,,,,TAGA3OX = 1.0 * 1.0 * gene_modifier + exogenous
TAGA1OX1,,,,TAGA1OX1 = 1.0 * 1.0 * gene_modifier + exogenous
TASERK,,,,TASERK = 1.0 * 1.0 * gene_modifier + exogenous
TAZNF,,,,TAZNF = 1.0 * 1.0 * gene_modifier + exogenous
TAARF4,,,,TAARF4 = 1.0 * 1.0 * gene_modifier + exogenous
TAERF_A1,,,,TAERF_A1 = 1.0 * 1.0 * gene_modifier + exogenous
RHT8,,,,RHT8 = 1.0 * 1.0 * gene_modifier + exogenous
RHT13,,,,RHT13 = 1.0 * 1.0 * gene_modifier + exogenous
RHT18,,,,RHT18 = 1.0 * 1.0 * gene_modifier + exogenous
RHT24,,,,RHT24 = 1.0 * 1.0 * gene_modifier + exogenous
RHT12,,,,RHT12 = 1.0 * 1.0 * gene_modifier + exogenous
TAOSCA1_4,,,,TAOSCA1_4 = 1.0 * 1.0 * gene_modifier + exogenous
TAD11,,,,TAD11 = 1.0 * 1.0 * gene_modifier + exogenous
TADWF4,,,,TADWF4 = 1.0 * 1.0 * gene_modifier + exogenous
TAGID1,,Gibberellin,,TAGID1 = prod(f(Gibberellin)) * 1.0 * gene_modifier + exogenous
TAGA20OX,,"VRN1,RHT_B1",,"TAGA20OX = prod(f(VRN1, RHT_B1)) * 1.0 * gene_modifier + exogenous"
TAGA2OX,,"Gibberellin,RHT18,RHT24,RHT12",,"TAGA2OX = prod(f(Gibberellin, RHT18, RHT24, RHT12)) * 1.0 * gene_modifier + exogenous"
RHT_B1,,TABIN2,"TAGID1,TASLY1,Nitrogen,TABZR1","RHT_B1 = prod(f(TABIN2)) * prod(g(TAGID1, TASLY1, Nitrogen, TABZR1)) * gene_modifier + exogenous"
RHT_D1,,,"TAGID1,TASLY1","RHT_D1 = 1.0 * prod(g(TAGID1, TASLY1)) * gene_modifier + exogenous"
PLATZ_A1,,,RHT_B1,PLATZ_A1 = 1.0 * prod(g(RHT_B1)) * gene_modifier + exogenous
PIF,,TAERF_A1,"RHT_B1,Light","PIF = prod(f(TAERF_A1)) * prod(g(RHT_B1, Light)) * gene_modifier + exogenous"
PPD_D1,,Photoperiod,,PPD_D1 = prod(f(Photoperiod)) * 1.0 * gene_modifier + exogenous
VRN1,,Vernalization,,VRN1 = prod(f(Vernalization)) * 1.0 * gene_modifier + exogenous
TABRI1,,"Brassinosteroid,TASERK",TABKI1,"TABRI1 = prod(f(Brassinosteroid, TASERK)) * prod(g(TABKI1)) * gene_modifier + exogenous"
TABKI1,,,"TABRI1,TAZNF","TABKI1 = 1.0 * prod(g(TABRI1, TAZNF)) * gene_modifier + exogenous"
TABIN2,,,TABRI1,TABIN2 = 1.0 * prod(g(TABRI1)) * gene_modifier + exogenous
TABZR1,,,TABIN2,TABZR1 = 1.0 * prod(g(TABIN2)) * gene_modifier + exogenous
TATIR1,,Auxin,,TATIR1 = prod(f(Auxin)) * 1.0 * gene_modifier + exogenous
TAIAA,,,TATIR1,TAIAA = 1.0 * prod(g(TATIR1)) * gene_modifier + exogenous
TAARF,,,TAIAA,TAARF = 1.0 * prod(g(TAIAA)) * gene_modifier + exogenous
TAHB33,,TAARF4,,TAHB33 = prod(f(TAARF4)) * 1.0 * gene_modifier + exogenous
TAGH3,,,TAHB33,TAGH3 = 1.0 * prod(g(TAHB33)) * gene_modifier + exogenous
Pathogenesis_Related_Genes,,RHT13,,Pathogenesis_Related_Genes = prod(f(RHT13)) * 1.0 * gene_modifier + exogenous
Plant_Height,,"PLATZ_A1,PIF,TABZR1,TAARF,TAOSCA1_4","RHT_B1,RHT_D1,PPD_D1,Pathogenesis_Related_Genes","Plant_Height = prod(f(PLATZ_A1, PIF, TABZR1, TAARF, TAOSCA1_4)) * prod(g(RHT_B1, RHT_D1, PPD_D1, Pathogenesis_Related_Genes)) * gene_modifier + exogenous"
