test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T001,Rht-B1b,gain_of_function,2.0,,,1.0,0.441092,WT,1.0,0.441092,-1.1808,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,38,10.1104/pp.111.183657
T002,Rht-D1b,gain_of_function,2.0,,,1.0,0.500241,WT,1.0,0.500241,-0.9993,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,27,10.1104/pp.111.183657
T003,Rht-B1c,gain_of_function,2.5,,,1.0,0.338805,WT,1.0,0.338805,-1.5615,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,40,10.1104/pp.111.183657
T004,Rht-D1c,gain_of_function,2.5,,,1.0,0.400245,WT,1.0,0.400245,-1.321,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,27,10.1104/pp.111.183657
T005,Rht-B1d,gain_of_function,1.5,,,1.0,0.619588,WT,1.0,0.619588,-0.6906,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,33,10.1104/pp.111.183657
T006,Rht-B1e,gain_of_function,2.0,,,1.0,0.441092,WT,1.0,0.441092,-1.1808,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,38,10.1104/pp.111.183657
T007,Rht-B1b+Rht-D1b,double_mutant,2.0,,,1.0,0.22055,WT,1.0,0.22055,-2.1808,0.05,decreased,decreased,True,Plant_Height,2,medium,1,True,38,10.1111/tpj.16652
T010,Rht-B1c_ovg_suppressor,rescue_experiment,1.0,,,1.0,1.0,epistasis,0.338805,2.951553,1.5615,0.05,increased,increased,True,Plant_Height,1,easy,1,True,1,10.1093/jxb/erw471
T011,PLATZ-A1,knockout,0.0,,,1.0,0.39829,WT,1.0,0.39829,-1.3281,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,31,10.1073/pnas.2300203120
T012,PLATZ-A1,overexpression,2.0,,,1.0,1.148436,WT,1.0,1.148436,0.1997,0.05,increased,increased,True,Plant_Height,1,easy,1,True,24,10.1073/pnas.2300203120
T013,TaGA3ox2,triple_knockout,0.0,,,1.0,0.134123,WT,1.0,0.134123,-2.8984,0.05,decreased,decreased,True,Plant_Height,1,easy,4,True,48,10.1093/jxb/eraf151
T014,TaGA3ox3,triple_knockout,0.5,,,1.0,0.739001,WT,1.0,0.739001,-0.4364,0.05,decreased,decreased,True,Plant_Height,1,easy,4,True,38,10.1093/jxb/eraf151
T015,TaGA1ox1-B1,knockout,0.0,,,1.0,22.675503,WT,1.0,22.675503,4.5031,0.05,increased,increased,True,Plant_Height,1,easy,4,True,68,10.1093/jxb/eraf151
T016,TaGA3ox2_plus_GA3,rescue_experiment,0.0,Gibberellin,1.0,1.0,1.83536,mutant,0.134123,13.684114,3.7744,0.05,increased,increased,True,Plant_Height,2,medium,4,True,36,10.1093/jxb/eraf151
T017,WT_plus_GA3,treatment,1.0,Gibberellin,1.0,1.0,4.108846,WT,1.0,4.108846,2.0387,0.05,increased,increased,True,Plant_Height,1,easy,3,True,49,10.1104/pp.111.185272
T018,Rht-B1c_plus_GA3,gain_of_function_plus_treatment,2.5,Gibberellin,1.0,1.0,1.268388,mutant,0.338805,3.743713,1.9045,0.05,increased,unchanged,False,Plant_Height,2,medium,1,True,46,10.1104/pp.111.185272
T019,Rht18,gain_of_function,2.0,,,1.0,0.738873,WT,1.0,0.738873,-0.4366,0.05,decreased,decreased,True,Plant_Height,1,easy,5,True,41,10.1104/pp.18.00023
T020,Rht24b,gain_of_function,2.0,,,1.0,0.738873,WT,1.0,0.738873,-0.4366,0.05,decreased,decreased,True,Plant_Height,1,easy,5,True,41,10.1111/nph.17808
T021,Rht12,gain_of_function,2.0,,,1.0,0.738873,WT,1.0,0.738873,-0.4366,0.05,decreased,decreased,True,Plant_Height,1,easy,5,True,41,10.1093/jxb/eraa443
T022,Rht14,gain_of_function,2.0,,,1.0,0.738873,WT,1.0,0.738873,-0.4366,0.05,decreased,decreased,True,Plant_Height,1,easy,5,True,41,10.1093/jxb/eraa443
T023,Rht12_overgrowth_rev,loss_of_function,0.0,,,1.0,7.455641,epistasis,0.738873,10.090558,3.3349,0.05,increased,increased,True,Plant_Height,1,easy,5,True,49,10.1093/jxb/eraa443
T024,Rht8,loss_of_function,0.5,,,1.0,0.739001,WT,1.0,0.739001,-0.4364,0.05,decreased,decreased,True,Plant_Height,1,easy,4,True,38,10.1016/j.molp.2022.01.013
T025,Rht13,gain_of_function,2.0,,,1.0,0.500241,WT,1.0,0.500241,-0.9993,0.05,decreased,decreased,True,Plant_Height,1,easy,2,True,27,10.1073/pnas.2209875119
T026,TaBRI1_triple,triple_knockout,0.0,,,1.0,0.002731,WT,1.0,0.002731,-8.5162,0.05,decreased,decreased,True,Plant_Height,1,easy,3,True,60,10.1186/s12870-025-06762-w
T027,TaBRI1-A1_missense,loss_of_function,0.5,,,1.0,0.002731,WT,1.0,0.002731,-8.5162,0.05,decreased,decreased,True,Plant_Height,1,easy,3,True,73,10.1186/s12870-025-06762-w
T028,TaZnF-B,loss_of_function,0.0,,,1.0,0.002731,WT,1.0,0.002731,-8.5162,0.05,decreased,decreased,True,Plant_Height,1,easy,5,True,67,10.1038/s41586-023-06023-6
T029,Rht-B1b+TaZnF-B_double,double_mutant,2.0,,,1.0,0.00131,WT,1.0,0.00131,-9.576,0.05,decreased,unchanged,False,Plant_Height,2,medium,1,True,68,10.1038/s41586-023-06023-6
T030,TaD11-2A,knockout,0.5,,,1.0,0.003223,WT,1.0,0.003223,-8.2773,0.05,decreased,decreased,True,Plant_Height,1,easy,5,False,100,10.1007/s00122-022-04158-0
